iter	MultiClass
0	1.345812439
1	1.308800362
2	1.272427486
3	1.232783375
4	1.203358436
5	1.17047814
6	1.141483573
7	1.099979082
8	1.073033269
9	1.04292453
10	1.020082003
11	0.9933369844
12	0.9553405187
13	0.9291228726
14	0.9022993885
15	0.8689002545
16	0.8448113011
17	0.8252071305
18	0.8104197182
19	0.7941222499
20	0.7699671268
21	0.7507366003
22	0.7341127331
23	0.7203218908
24	0.700793834
25	0.684037661
26	0.6639405264
27	0.63865624
28	0.6249392746
29	0.6118361969
30	0.5985439939
31	0.586007125
32	0.5673544222
33	0.5547610812
34	0.5423473362
35	0.5315460648
36	0.5186526333
37	0.5075328118
38	0.4976715935
39	0.4886717024
40	0.4765047178
41	0.4653397775
42	0.4503334302
43	0.4382068618
44	0.4305845443
45	0.4169706414
46	0.4108783647
47	0.4056634312
48	0.3991216935
49	0.3935328095
50	0.3871043892
51	0.3776233099
52	0.3718806268
53	0.3660674561
54	0.3588551702
55	0.3535405312
56	0.3456358315
57	0.3407620279
58	0.3354098344
59	0.3295271576
60	0.3220195657
61	0.3137982225
62	0.3088939193
63	0.3024840468
64	0.2984601761
65	0.2927164277
66	0.2873842963
67	0.2836831654
68	0.2784479123
69	0.2742399249
70	0.2694755163
71	0.2642507596
72	0.2585381811
73	0.2540529092
74	0.2486073572
75	0.2437830497
76	0.2391637143
77	0.235369829
78	0.2312452979
79	0.2276942301
80	0.223740302
81	0.2199025234
82	0.2162441552
83	0.2131411341
84	0.2083936262
85	0.204619887
86	0.2018546646
87	0.1995670308
88	0.1965356143
89	0.194211482
90	0.1912497099
91	0.187217774
92	0.1844985322
93	0.1814741263
94	0.1786723138
95	0.1758782606
96	0.1737025969
97	0.1714312708
98	0.1680745612
99	0.1656573401
100	0.1637341722
101	0.1616194332
102	0.1596795073
103	0.157215457
104	0.1553770984
105	0.1533452681
106	0.1511041129
107	0.1486991875
108	0.1466813895
109	0.1449603598
110	0.1429509001
111	0.1411908601
112	0.139456334
113	0.1376826593
114	0.1358798313
115	0.1341038025
116	0.1325235509
117	0.1309177004
118	0.1293593202
119	0.1278191586
120	0.1263911875
121	0.1247881283
122	0.1233479444
123	0.12197555
124	0.1200709749
125	0.1190708685
126	0.1179986605
127	0.1167603869
128	0.115219633
129	0.1139450614
130	0.1124977531
131	0.111379493
132	0.1102315284
133	0.1088103058
134	0.1077181753
135	0.1067304068
136	0.1058211122
137	0.1045786146
138	0.1037090492
139	0.1026697607
140	0.101574081
141	0.1006157672
142	0.0996213395
143	0.09850939003
144	0.09734299932
145	0.09640223232
146	0.09557833836
147	0.09484008137
148	0.09376581146
149	0.09269662327
150	0.09198576375
151	0.09119028913
152	0.09034797441
153	0.08960366713
154	0.08886648244
155	0.0881155085
156	0.0874547188
157	0.08679880474
158	0.08579800026
159	0.08506628368
160	0.08429550546
161	0.08356625739
162	0.08275962577
163	0.08176885808
164	0.08094292754
165	0.08028117657
166	0.07970199543
167	0.07902263322
168	0.07831994205
169	0.0776903994
170	0.07695754369
171	0.07651400446
172	0.07590887065
173	0.07524812061
174	0.07477622938
175	0.07418943599
176	0.07356026547
177	0.07303709812
178	0.07254662851
179	0.07208655314
180	0.07152104722
181	0.07098629336
182	0.07046892153
183	0.07013584034
184	0.06966599088
185	0.06915176039
186	0.06872212395
187	0.06831655822
188	0.06778893382
189	0.06726845715
190	0.06675616583
191	0.06629272648
192	0.0657992151
193	0.06532447344
194	0.06466246359
195	0.06414592105
196	0.06376658465
197	0.06334679675
198	0.06293632494
199	0.06248084594
200	0.06191673398
201	0.06147393086
202	0.06100285391
203	0.06061657953
204	0.06018988595
205	0.05989665905
206	0.05950270764
207	0.05910675464
208	0.05879385471
209	0.05839324405
210	0.05800147598
211	0.05764465459
212	0.05730528217
213	0.05690578621
214	0.05649281832
215	0.05614208472
216	0.05581480922
217	0.0554899325
218	0.05528133799
219	0.05500852857
220	0.05470135075
221	0.05434893495
222	0.0541116791
223	0.05384182381
224	0.05349895764
225	0.05320724746
226	0.05293390623
227	0.0525761667
228	0.05226955076
229	0.05198648066
230	0.05176134474
231	0.05144056988
232	0.05111899892
233	0.05084900175
234	0.05054928542
235	0.05028020719
236	0.04995725759
237	0.04965997984
238	0.04933149628
239	0.04906176503
240	0.0487877592
241	0.04847862646
242	0.04819780135
243	0.04795952632
244	0.04769344412
245	0.04744767181
246	0.04726486192
247	0.04699691489
248	0.04675004897
249	0.0465234315
250	0.04627409463
251	0.04605411312
252	0.04581819677
253	0.04557525882
254	0.04534547783
255	0.04510758995
256	0.0448900106
257	0.04464765516
258	0.04443221239
259	0.04419924146
260	0.04392676607
261	0.04375683969
262	0.04353074161
263	0.04327171871
264	0.04302440582
265	0.04282692157
266	0.04262225928
267	0.04237433623
268	0.04216507399
269	0.04199061454
270	0.04166724211
271	0.04148430437
272	0.04129299924
273	0.04108724938
274	0.04092939981
275	0.04077457657
276	0.04057967903
277	0.04036785691
278	0.04019126728
279	0.03998162447
280	0.03981895662
281	0.03964507984
282	0.03945111512
283	0.03923963369
284	0.03903227665
